# No		1
# RA		2,3,4
# Dec		5,6,7
# Num		8
# oRA		9
# oDec		10
# V		11
# V-I		12
# B-V		13
# U-B		14
# e_V		15
# e_V-I		16
# e_B-V		17
# RA		18
# Dec		19

  139  06 08 21.75  +24 28 01.6   139   -7.917    6.439  11.467   0.254   0.207   0.139   0.014   0.017   0.017  092.090616  +24.467114 x 0
  140  06 08 21.81  +24 16 36.7   140   -7.915   -4.977  16.366   1.043   0.821   0.153   0.015   0.016   0.019  092.090870  +24.276848 x 0
  141  06 08 22.04  +24 20 39.1   141   -7.858   -0.937  16.867   1.144   0.927   0.345   0.017   0.017   0.019  092.091836  +24.344182 x 0
  142  06 08 22.18  +24 24 50.8   142   -7.821    3.259  14.656   0.719   0.543   0.309   0.001   0.011   0.004  092.092433  +24.414116 x 0
  143  06 08 22.27  +24 20 27.5   143   -7.805   -1.129  14.758   0.831   0.686   0.125   0.007   0.011   0.009  092.092809  +24.340983 x 0
  144  06 08 22.27  +24 27 13.5   144   -7.798    5.637  11.191   0.242   0.181   0.063   0.012   0.019   0.018  092.092810  +24.453749 x 0
  145  06 08 22.34  +24 15 02.0   145   -7.795   -6.554  16.521   1.185   1.083   0.772   0.010   0.020   0.012  092.093094  +24.250567 x 0
  146  06 08 22.45  +24 12 13.1   146   -7.774   -9.369  16.515   1.169   1.039   0.693   0.012   0.012   0.012  092.093530  +24.203651 x 0
  147  06 08 22.53  +24 20 45.7   147   -7.746   -0.826  12.206   0.320   0.264   0.219   0.002   0.007   0.010  092.093882  +24.346034 x 0
  148  06 08 22.58  +24 14 22.5   148   -7.742   -7.213  12.139   0.367   0.319   0.221   0.001   0.001   0.013  092.094075  +24.239585 x 0
  149  06 08 22.66  +24 29 32.9   149   -7.708    7.961  15.726   1.011   0.804   0.386   0.003   0.006   0.006  092.094414  +24.492484 x 0
  150  06 08 22.69  +24 26 32.9   150   -7.705    4.960  15.975   1.686   1.462   1.076   0.002   0.005   0.006  092.094525  +24.442468 x 0
  151  06 08 22.75  +24 21 06.2   151   -7.697   -0.485  14.561   0.654   0.519   0.255   0.005   0.029   0.005  092.094772  +24.351718 x 0
  152  06 08 22.77  +24 23 57.0   152   -7.689    2.362  13.551   1.257   1.127   0.740   0.008   0.010   0.009  092.094866  +24.399168 x 0
  153  06 08 22.91  +24 14 19.6   153   -7.666   -7.262  15.908   0.672   0.436   0.478   0.001   0.011   0.078  092.095465  +24.238769 x 0
  154  06 08 22.90  +24 24 39.2   154   -7.658    3.066  16.659   1.068   0.847   0.201   0.000   0.007   0.016  092.095420  +24.410902 x 0
  155  06 08 22.96  +24 14 43.9   155   -7.655   -6.857  16.805   0.978   0.743   0.341   0.009   0.014   0.022  092.095658  +24.245519 x 0
  156  06 08 23.08  +24 13 08.7   156   -7.629   -8.444  16.428   1.142   1.020   0.621   0.019   0.019   0.022  092.096162  +24.219070 x 0
  157  06 08 23.10  +24 17 16.8   157   -7.621   -4.309  16.608   0.716   0.566   0.432   0.001   0.007   0.013  092.096233  +24.287986 x 0
  158  06 08 23.11  +24 22 43.1   158   -7.612    1.130  16.743   1.020   0.805   0.139   0.007   0.010   0.008  092.096298  +24.378636 x 0
  159  06 08 23.25  +24 23 17.4   159   -7.580    1.702  12.909   0.516   0.433   0.191   0.017   0.019   0.019  092.096873  +24.388170 x 0
  160  06 08 23.73  +24 29 26.4   160   -7.464    7.851  12.928   0.536   0.439   0.329   0.002   0.002   0.009  092.098885  +24.490655 x 0
  161  06 08 23.80  +24 21 52.5   161   -7.456    0.286  14.426   1.374   1.303   0.934   0.000   0.005   0.002  092.099167  +24.364572 x 0
  162  06 08 23.81  +24 24 15.4   162   -7.452    2.669  14.202   0.646   0.519   0.331   0.005   0.006   0.005  092.099198  +24.404289 x 0
  163  06 08 23.89  +24 19 41.5   163   -7.437   -1.897  15.164   1.059   0.976   0.770   0.002   0.012   0.008  092.099554  +24.328189 x 0
  164  06 08 23.98  +24 22 56.0   164   -7.414    1.345  16.044   0.533   0.400   0.222   0.007   0.007   0.010  092.099917  +24.382223 x 0
  165  06 08 24.01  +24 15 49.9   165   -7.413   -5.756  15.922   0.765   0.607   0.265   0.009   0.010   0.009  092.100062  +24.263873 x 0
  166  06 08 24.16  +24 15 50.5   166   -7.380   -5.746  16.555   0.900   0.699   0.256   0.011   0.012   0.015  092.100665  +24.264041 x 0
  167  06 08 24.16  +24 18 45.5   167   -7.376   -2.830  15.287   0.680   0.538   0.293   0.015   0.015   0.015  092.100687  +24.312641 x 0
  168  06 08 24.28  +24 12 22.2   168   -7.355   -9.218  15.619   1.006   0.792   0.181   0.012   0.015   0.013  092.101184  +24.206175 x 0
  169  06 08 24.24  +24 25 52.3   169   -7.351    4.284  15.492   0.896   0.718   0.315   0.005   0.006   0.008  092.101018  +24.431207 x 0
  170  06 08 24.40  +24 16 32.4   170   -7.325   -5.049  16.002   1.226   0.991   0.418   0.010   0.011   0.014  092.101658  +24.275658 x 0
  171  06 08 24.38  +24 27 37.9   171   -7.318    6.044  14.150   0.918   0.862   0.561   0.005   0.008   0.007  092.101591  +24.460541 x 0
  172  06 08 24.44  +24 15 59.3   172   -7.315   -5.600  10.697   1.048   0.876   0.395   0.019   0.034   0.022  092.101851  +24.266475 x 0
  173  06 08 24.45  +24 17 45.6   173   -7.311   -3.829  14.960   0.820   0.652   0.084   0.002   0.009   0.005  092.101893  +24.295992 x 0
  174  06 08 24.44  +24 25 51.4   174   -7.306    4.268  15.659   1.058   0.939   0.231   0.014   0.015   0.015  092.101842  +24.430941 x 0
  175  06 08 24.45  +24 24 44.7   175   -7.305    3.157  16.982   1.026   0.774   0.162   0.007   0.007   0.007  092.101880  +24.412425 x 0
  176  06 08 24.54  +24 15 09.4   176   -7.293   -6.432  16.137   1.105   0.996   0.683   0.001   0.002   0.014  092.102268  +24.252609 x 0
  177  06 08 24.74  +24 19 13.7   177   -7.245   -2.361  16.484   0.959   0.794   0.179   0.002   0.011   0.002  092.103074  +24.320459 x 0
  178  06 08 24.78  +24 14 17.8   178   -7.241   -7.292  15.187   0.619   0.504   0.379   0.014   0.014   0.015  092.103233  +24.238276 x 0
  179  06 08 24.78  +24 29 12.0   179   -7.225    7.611  15.947   0.686   0.527   0.374   0.009   0.009   0.009  092.103266  +24.486659 x 0
  180  06 08 24.86  +24 14 35.7   180   -7.221   -6.994  16.108   0.602   0.493   0.389   0.000   0.025   0.001  092.103594  +24.243243 x 0
  181  06 08 24.82  +24 28 05.0   181   -7.218    6.495  13.309   0.809   0.651   0.242   0.002   0.002   0.006  092.103414  +24.468059 x 0
